COD_ETU;Note ;Résultat;Année ;Session ;FILIERE;ANNEE;MODULE;SEMESTRE
11013299;6;NV ;2014;2;BCG;2014;TLBC2304;S2
12011098;10.05 ;V  ;2013;1;BCG;2014;TLBC2304;S2
12011382;1.1   ;NRA;2014;1;BCG;2014;TLBC2304;S2
12011664;7.65  ;NV ;2014;2;BCG;2014;TLBC2304;S2
11013303;10;V  ;2013;2;BCG;2014;TLBC2404;S2
12011115;10;V  ;2013;2;BCG;2014;TLBC2404;S2
12011549;0;NRA;2014;1;BCG;2014;TLBC2404;S2
12011666;10;V  ;2013;2;BCG;2014;TLBC2404;S2
12011874;0;NRA;2014;1;BCG;2014;TLBC2404;S2
12012559;10;V  ;2014;2;BCG;2014;TLBC2404;S2
13011263;7.92  ;AC ;2013;2;BCG;2014;TLBC2404;S2
13012011;10;V  ;2013;1;BCG;2014;TLBC2404;S2
13012304;10;V  ;2013;2;BCG;2014;TLBC2404;S2
13012475;4.56  ;NRA;2014;1;BCG;2014;TLBC2404;S2
13012783;11.1  ;V  ;2014;1;BCG;2014;TLBC2404;S2
13013054;10;V  ;2014;2;BCG;2014;TLBC2404;S2
13013174;0;NRA;2014;1;BCG;2014;TLBC2404;S2
13013660;0;NRA;2014;1;BCG;2014;TLBC2404;S2
13014136;2.5   ;NRA;2014;1;BCG;2014;TLBC2404;S2
13014755;10;V  ;2013;2;BCG;2014;TLBC2404;S2
13018251;10;V  ;2013;2;BCG;2014;TLBC2404;S2
14000027;11.72 ;V  ;2014;1;BCG;2014;TLBC2404;S2
14000075;11.44 ;V  ;2014;1;BCG;2014;TLBC2404;S2
14000118;12;V  ;2014;1;BCG;2014;TLBC2404;S2
14000144;10;V  ;2014;1;BCG;2014;TLBC2404;S2
14000199;0;NRA;2014;1;BCG;2014;TLBC2404;S2
14000241;12.1  ;V  ;2014;1;BCG;2014;TLBC2404;S2
14000291;10;V  ;2014;2;BCG;2014;TLBC2404;S2
14000318;13.7  ;V  ;2014;1;BCG;2014;TLBC2404;S2
14000353;2.5   ;NRA;2014;1;BCG;2014;TLBC2404;S2
14000400;0;NRA;2014;1;BCG;2014;TLBC2404;S2
14000422;10 005;V  ;2014;1;BCG;2014;TLBC2404;S2
14000471;0;NRA;2014;1;BCG;2014;TLBC2404;S2
14000544;10;V  ;2014;2;BCG;2014;TLBC2404;S2
14000694;13.75 ;V  ;2014;1;BCG;2014;TLBC2404;S2
14000990;10.8  ;V  ;2014;1;BCG;2014;TLBC2404;S2
14001611;10.4  ;V  ;2014;1;BCG;2014;TLBC2404;S2
14001658;10;V  ;2014;2;BCG;2014;TLBC2404;S2
14002373;0;NRA;2014;1;BCG;2014;TLBC2404;S2
14004961;10;V  ;2014;2;BCG;2014;TLBC2404;S2
14005642;10;V  ;2014;1;BCG;2014;TLBC2404;S2
14006141;16.9  ;V  ;2014;1;BCG;2014;TLBC2404;S2
14007110;9.4   ;NV ;2014;2;BCG;2014;TLBC2404;S2
12005967;0;NRA;2014;1;BCG;2014;TLBC2604;S2
12011130;12.3  ;V  ;2012;1;BCG;2014;TLBC2604;S2
12011566;10;V  ;2013;2;BCG;2014;TLBC2604;S2
12011668;12.12 ;V  ;2012;1;BCG;2014;TLBC2604;S2
12011898;10;V  ;2012;1;BCG;2014;TLBC2604;S2
12012775;10;V  ;2012;1;BCG;2014;TLBC2604;S2
13011269;10;V  ;2013;2;BCG;2014;TLBC2604;S2
13012042;10.5  ;V  ;2014;1;BCG;2014;TLBC2604;S2
13012324;14.38 ;V  ;2013;1;BCG;2014;TLBC2604;S2
13012505;10;V  ;2013;2;BCG;2014;TLBC2604;S2
13012802;10;V  ;2013;2;BCG;2014;TLBC2604;S2
13013061;10;V  ;2013;2;BCG;2014;TLBC2604;S2
13013180;10;V  ;2014;2;BCG;2014;TLBC2604;S2
13013684;10.33 ;V  ;2013;1;BCG;2014;TLBC2604;S2
13014173;10.25 ;V  ;2013;1;BCG;2014;TLBC2604;S2
13014920;0;NRA;2014;1;BCG;2014;TLBC2604;S2
14000007;15.5  ;V  ;2014;1;BCG;2014;TLBC2604;S2
14000034;18;V  ;2014;1;BCG;2014;TLBC2604;S2
14000077;13;V  ;2014;1;BCG;2014;TLBC2604;S2
14000121;0;NRA;2014;1;BCG;2014;TLBC2604;S2
14000147;14.5  ;V  ;2014;1;BCG;2014;TLBC2604;S2
14000209;15;V  ;2014;1;BCG;2014;TLBC2604;S2
14000244;15.5  ;V  ;2014;1;BCG;2014;TLBC2604;S2
14000299;8;NV ;2014;2;BCG;2014;TLBC2604;S2
14000322;8;NV ;2014;2;BCG;2014;TLBC2604;S2
14000364;14;V  ;2014;1;BCG;2014;TLBC2604;S2
14000405;11.5  ;V  ;2014;1;BCG;2014;TLBC2604;S2
14000435;0;NRA;2014;1;BCG;2014;TLBC2604;S2
14000475;8.5   ;NV ;2014;2;BCG;2014;TLBC2604;S2
14000581;0;NRA;2014;1;BCG;2014;TLBC2604;S2
14000698;12;V  ;2014;1;BCG;2014;TLBC2604;S2
14001010;11.5  ;V  ;2014;1;BCG;2014;TLBC2604;S2
14001641;14.5  ;V  ;2014;1;BCG;2014;TLBC2604;S2
14001936;13;V  ;2014;1;BCG;2014;TLBC2604;S2
14002474;13;V  ;2014;1;BCG;2014;TLBC2604;S2
14004997;13;V  ;2014;1;BCG;2014;TLBC2604;S2
14005745;18;V  ;2014;1;BCG;2014;TLBC2604;S2
14006171;13.5  ;V  ;2014;1;BCG;2014;TLBC2604;S2
14007278;0;NRA;2014;1;BCG;2014;TLBC2604;S2
10048467;9.7   ;AC ;2011;1;BCG;2014;TLBC1104;S1
12006411;0;NRA;2014;1;BCG;2014;TLBC1104;S1
12011138;11.32 ;V  ;2012;1;BCG;2014;TLBC1104;S1
12011579;10;V  ;2012;1;BCG;2014;TLBC1104;S1
12011695;0;NRA;2014;1;BCG;2014;TLBC1104;S1
12011925;10;V  ;2012;1;BCG;2014;TLBC1104;S1
13010014;14.1  ;V  ;2014;1;BCG;2014;TLBC1104;S1
13011379;10;V  ;2013;2;BCG;2014;TLBC1104;S1
13012118;0;NRA;2014;1;BCG;2014;TLBC1104;S1
13012344;11.63 ;V  ;2013;1;BCG;2014;TLBC1104;S1
13012547;0;NRA;2014;1;BCG;2014;TLBC1104;S1
13012807;10.4  ;V  ;2014;1;BCG;2014;TLBC1104;S1
13013098;10;V  ;2014;2;BCG;2014;TLBC1104;S1
13013185;0;NRA;2014;1;BCG;2014;TLBC1104;S1
13013696;10;V  ;2014;2;BCG;2014;TLBC1104;S1
13014293;10.1  ;V  ;2014;1;BCG;2014;TLBC1104;S1
13014984;12.4  ;V  ;2014;1;BCG;2014;TLBC1104;S1
14000013;16.2  ;V  ;2014;1;BCG;2014;TLBC1104;S1
14000046;10;V  ;2014;2;BCG;2014;TLBC1104;S1
14000083;10;V  ;2014;2;BCG;2014;TLBC1104;S1
14000126;10.1  ;V  ;2014;1;BCG;2014;TLBC1104;S1
14000150;10.2  ;V  ;2014;1;BCG;2014;TLBC1104;S1
14000216;14.9  ;V  ;2014;1;BCG;2014;TLBC1104;S1
14000253;10.92 ;V  ;2014;1;BCG;2014;TLBC1104;S1
14000301;10;V  ;2014;2;BCG;2014;TLBC1104;S1
14000327;15.1  ;V  ;2014;1;BCG;2014;TLBC1104;S1
14000368;11;V  ;2014;1;BCG;2014;TLBC1104;S1
14000408;8.7   ;NV ;2014;2;BCG;2014;TLBC1104;S1
14000444;5.3   ;NV ;2014;2;BCG;2014;TLBC1104;S1
14000482;1.9   ;NRA;2014;1;BCG;2014;TLBC1104;S1
14000591;16.25 ;V  ;2014;1;BCG;2014;TLBC1104;S1
14000700;10;V  ;2014;2;BCG;2014;TLBC1104;S1
14001039;11.5  ;V  ;2014;1;BCG;2014;TLBC1104;S1
14001648;10;V  ;2014;2;BCG;2014;TLBC1104;S1
14001987;11.5  ;V  ;2014;1;BCG;2014;TLBC1104;S1
14003081;10;V  ;2014;2;BCG;2014;TLBC1104;S1
14005055;10.2  ;V  ;2014;1;BCG;2014;TLBC1104;S1
14005961;14;V  ;2014;1;BCG;2014;TLBC1104;S1
14006173;12.8  ;V  ;2014;1;BCG;2014;TLBC1104;S1
10048675;;;;;BCG;2014;TLBC1304;S1
12006858;0;NRA;2014;1;BCG;2014;TLBC1304;S1
12011178;10;V  ;2013;2;BCG;2014;TLBC1304;S1
12011598;10;V  ;2012;1;BCG;2014;TLBC1304;S1
12011713;0;NRA;2014;1;BCG;2014;TLBC1304;S1
12011960;10;V  ;2013;2;BCG;2014;TLBC1304;S1
13010027;0;NRA;2014;1;BCG;2014;TLBC1304;S1
13011436;12 837;V  ;2013;1;BCG;2014;TLBC1304;S1
13012156;;;;;BCG;2014;TLBC1304;S1
13012363;10;V  ;2013;2;BCG;2014;TLBC1304;S1
13012564;11.9  ;V  ;2013;1;BCG;2014;TLBC1304;S1
13012823;10;V  ;2013;1;BCG;2014;TLBC1304;S1
13013122;0;NRA;2014;1;BCG;2014;TLBC1304;S1
13013278;9.18  ;NV ;2014;2;BCG;2014;TLBC1304;S1
13013707;0;NRA;2014;1;BCG;2014;TLBC1304;S1
13014362;;;;;BCG;2014;TLBC1304;S1
13014995;2.9   ;NRA;2014;1;BCG;2014;TLBC1304;S1
14000018;10;V  ;2014;2;BCG;2014;TLBC1304;S1
14000055;14.17 ;V  ;2014;1;BCG;2014;TLBC1304;S1
14000090;12.37 ;V  ;2014;1;BCG;2014;TLBC1304;S1
14000132;9;NV ;2014;2;BCG;2014;TLBC1304;S1
14000165;10;V  ;2014;1;BCG;2014;TLBC1304;S1
14000222;11.67 ;V  ;2014;1;BCG;2014;TLBC1304;S1
14000261;15.16 ;V  ;2014;1;BCG;2014;TLBC1304;S1
14000305;10;V  ;2014;2;BCG;2014;TLBC1304;S1
14000330;10 075;V  ;2014;1;BCG;2014;TLBC1304;S1
14000374;8.5   ;AC ;2014;2;BCG;2014;TLBC1304;S1
14000409;10;V  ;2014;1;BCG;2014;TLBC1304;S1
14000450;8.75  ;AC ;2014;2;BCG;2014;TLBC1304;S1
14000487;14.82 ;V  ;2014;1;BCG;2014;TLBC1304;S1
14000636;11.81 ;V  ;2014;1;BCG;2014;TLBC1304;S1
14000786;2.6   ;NRA;2014;1;BCG;2014;TLBC1304;S1
14001374;10.95 ;V  ;2014;1;BCG;2014;TLBC1304;S1
14001651;11.8  ;V  ;2014;1;BCG;2014;TLBC1304;S1
14002043;12.9  ;V  ;2014;1;BCG;2014;TLBC1304;S1
14003205;14.88 ;V  ;2014;1;BCG;2014;TLBC1304;S1
14005206;9;NV ;2014;2;BCG;2014;TLBC1304;S1
14005963;8;NV ;2014;2;BCG;2014;TLBC1304;S1
14006204;5.88  ;NV ;2014;2;BCG;2014;TLBC1304;S1
11011713;;;;;BCG;2014;TLBC1504;S1
12008132;10.5  ;V  ;2013;1;BCG;2014;TLBC1504;S1
12011207;;;;;BCG;2014;TLBC1504;S1
12011618;;;;;BCG;2014;TLBC1504;S1
12011780;;;;;BCG;2014;TLBC1504;S1
12012361;9;NV ;2014;2;BCG;2014;TLBC1504;S1
13010634;3.5   ;NRA;2014;1;BCG;2014;TLBC1504;S1
13011472;;;;;BCG;2014;TLBC1504;S1
13012223;8.7   ;AC ;2014;2;BCG;2014;TLBC1504;S1
13012387;4 625;NRA;2014;1;BCG;2014;TLBC1504;S1
13012646;7;NV ;2014;2;BCG;2014;TLBC1504;S1
13012911;12;V  ;2013;1;BCG;2014;TLBC1504;S1
13013124;3.75  ;NRA;2014;1;BCG;2014;TLBC1504;S1
13013443;7.5   ;NV ;2014;2;BCG;2014;TLBC1504;S1
13013968;7;AC ;2014;2;BCG;2014;TLBC1504;S1
13014365;0;NRA;2014;1;BCG;2014;TLBC1504;S1
13015390;0;NRA;2014;1;BCG;2014;TLBC1504;S1
14000020;10;V  ;2014;2;BCG;2014;TLBC1504;S1
14000065;11.25 ;V  ;2014;1;BCG;2014;TLBC1504;S1
14000096;11.25 ;V  ;2014;1;BCG;2014;TLBC1504;S1
14000135;11.5  ;V  ;2014;1;BCG;2014;TLBC1504;S1
14000171;7;NV ;2014;2;BCG;2014;TLBC1504;S1
14000225;10;V  ;2014;2;BCG;2014;TLBC1504;S1
14000267;4.75  ;NRA;2014;1;BCG;2014;TLBC1504;S1
14000308;12.5  ;V  ;2014;1;BCG;2014;TLBC1504;S1
14000332;10;V  ;2014;2;BCG;2014;TLBC1504;S1
14000380;4.75  ;NRA;2014;1;BCG;2014;TLBC1504;S1
14000413;10;V  ;2014;2;BCG;2014;TLBC1504;S1
14000458;4;NRA;2014;1;BCG;2014;TLBC1504;S1
14000503;14;V  ;2014;1;BCG;2014;TLBC1504;S1
14000639;7;NV ;2014;2;BCG;2014;TLBC1504;S1
14000790;7.5   ;AC ;2014;2;BCG;2014;TLBC1504;S1
14001585;7.5   ;NV ;2014;2;BCG;2014;TLBC1504;S1
14001652;10;V  ;2014;2;BCG;2014;TLBC1504;S1
14002046;0;NRA;2014;1;BCG;2014;TLBC1504;S1
14003240;7.5   ;NV ;2014;2;BCG;2014;TLBC1504;S1
14005216;8.94  ;AC ;2014;2;BCG;2014;TLBC1504;S1
14005965;14 375;V  ;2014;1;BCG;2014;TLBC1504;S1
14006560;9;AC ;2014;2;BCG;2014;TLBC1504;S1
11013259;3 592;;2014;2;BCG;2014;TLBC2004;S2
12011050;9 701;;2014;2;BCG;2014;TLBC2004;S2
12011235;1 167;;2014;2;BCG;2014;TLBC2004;S2
12011628;9 775;;2014;2;BCG;2014;TLBC2004;S2
12011789;7 917;;2014;2;BCG;2014;TLBC2004;S2
12012443;9 279;;2014;2;BCG;2014;TLBC2004;S2
13010975;1;NV ;2014;2;BCG;2014;TLBC2004;S2
13011494;11 022;V  ;2014;2;BCG;2014;TLBC2004;S2
13012266;10 317;V  ;2014;2;BCG;2014;TLBC2004;S2
13012397;8 767;;2014;2;BCG;2014;TLBC2004;S2
13012711;6.1   ;NV ;2014;2;BCG;2014;TLBC2004;S2
13012949;2 867;NV ;2014;2;BCG;2014;TLBC2004;S2
13013139;8 608;;2014;2;BCG;2014;TLBC2004;S2
13013531;12 183;V  ;2014;1;BCG;2014;TLBC2004;S2
13013976;5 083;;2014;2;BCG;2014;TLBC2004;S2
13014462;2.6   ;NV ;2014;2;BCG;2014;TLBC2004;S2
13015697;0;NV ;2014;2;BCG;2014;TLBC2004;S2
14000023;12.85 ;V  ;2014;1;BCG;2014;TLBC2004;S2
14000068;12 458;V  ;2014;2;BCG;2014;TLBC2004;S2
14000103;13 417;V  ;2014;1;BCG;2014;TLBC2004;S2
14000138;11.45 ;V  ;2014;2;BCG;2014;TLBC2004;S2
14000181;10 958;V  ;2014;1;BCG;2014;TLBC2004;S2
14000230;6 822;NV ;2014;2;BCG;2014;TLBC2004;S2
14000277;1;NV ;2014;2;BCG;2014;TLBC2004;S2
14000311;1;NV ;2014;2;BCG;2014;TLBC2004;S2
14000336;12 679;V  ;2014;1;BCG;2014;TLBC2004;S2
14000388;1 333;NV ;2014;2;BCG;2014;TLBC2004;S2
14000417;10;V  ;2014;2;BCG;2014;TLBC2004;S2
14000463;13 067;V  ;2014;2;BCG;2014;TLBC2004;S2
14000510;10 002;V  ;2014;2;BCG;2014;TLBC2004;S2
14000683;.2    ;NV ;2014;2;BCG;2014;TLBC2004;S2
14000792;8 329;NV ;2014;2;BCG;2014;TLBC2004;S2
14001602;7 517;NV ;2014;2;BCG;2014;TLBC2004;S2
14001653;12 267;V  ;2014;2;BCG;2014;TLBC2004;S2
14002202;11 325;V  ;2014;2;BCG;2014;TLBC2004;S2
14003296;10 767;V  ;2014;2;BCG;2014;TLBC2004;S2
14005238;12 654;V  ;2014;2;BCG;2014;TLBC2004;S2
14005967;16 283;V  ;2014;1;BCG;2014;TLBC2004;S2
14006562;9 742;NV ;2014;2;BCG;2014;TLBC2004;S2
11013286;0;NRA;2014;1;BCG;2014;TLBC2204;S2
12011093;0;NRA;2014;1;BCG;2014;TLBC2204;S2
12011378;10;AC ;2013;1;BCG;2014;TLBC2204;S2
12011662;1;NRA;2014;1;BCG;2014;TLBC2204;S2
12011867;7;AC ;2013;1;BCG;2014;TLBC2204;S2
12012455;8.25  ;AC ;2013;2;BCG;2014;TLBC2204;S2
13011190;;;;;BCG;2014;TLBC2204;S2
13011712;0;NRA;2014;1;BCG;2014;TLBC2204;S2
13012297;10;V  ;2013;2;BCG;2014;TLBC2204;S2
13012458;8.5   ;AC ;2014;2;BCG;2014;TLBC2204;S2
13012731;4.75  ;NRA;2014;1;BCG;2014;TLBC2204;S2
13012975;10;V  ;2013;2;BCG;2014;TLBC2204;S2
13013159;0;NRA;2014;1;BCG;2014;TLBC2204;S2
13013632;0;NRA;2014;1;BCG;2014;TLBC2204;S2
13014092;10 162;V  ;2013;1;BCG;2014;TLBC2204;S2
13014678;10;V  ;2013;2;BCG;2014;TLBC2204;S2
13016482;0;NRA;2014;1;BCG;2014;TLBC2204;S2
14000025;11.13 ;V  ;2014;1;BCG;2014;TLBC2204;S2
14000071;0;NRA;2014;1;BCG;2014;TLBC2204;S2
14000112;2;NRA;2014;1;BCG;2014;TLBC2204;S2
14000141;12;V  ;2014;1;BCG;2014;TLBC2204;S2
14000189;9.5   ;AC ;2014;2;BCG;2014;TLBC2204;S2
14000238;7;AC ;2014;2;BCG;2014;TLBC2204;S2
14000285;1;NRA;2014;1;BCG;2014;TLBC2204;S2
14000313;2;NRA;2014;1;BCG;2014;TLBC2204;S2
14000338;11.25 ;V  ;2014;1;BCG;2014;TLBC2204;S2
14000394;7;NV ;2014;2;BCG;2014;TLBC2204;S2
14000420;9;AC ;2014;2;BCG;2014;TLBC2204;S2
14000468;10.5  ;V  ;2014;1;BCG;2014;TLBC2204;S2
14000516;12 375;V  ;2014;1;BCG;2014;TLBC2204;S2
14000689;10;V  ;2014;1;BCG;2014;TLBC2204;S2
14000796;0;NRA;2014;1;BCG;2014;TLBC2204;S2
14001604;2.25  ;NRA;2014;1;BCG;2014;TLBC2204;S2
14001656;2.75  ;NRA;2014;1;BCG;2014;TLBC2204;S2
14002310;8.6   ;AC ;2014;2;BCG;2014;TLBC2204;S2
14004681;10.5  ;V  ;2014;1;BCG;2014;TLBC2204;S2
14005397;10 875;V  ;2014;1;BCG;2014;TLBC2204;S2
14005974;7.5   ;NV ;2014;2;BCG;2014;TLBC2204;S2
14006702;0;NRA;2014;1;BCG;2014;TLBC2204;S2
12005831;8.5   ;AC ;2013;2;BCG;2014;TLBC2504;S2
12011128;0;NRA;2014;1;BCG;2014;TLBC2504;S2
12011564;0;NRA;2014;1;BCG;2014;TLBC2504;S2
12011667;0;NRA;2014;1;BCG;2014;TLBC2504;S2
12011883;0;NRA;2014;1;BCG;2014;TLBC2504;S2
12012676;10;V  ;2013;1;BCG;2014;TLBC2504;S2
13011265;7.1   ;AC ;2014;2;BCG;2014;TLBC2504;S2
13012015;12.75 ;V  ;2013;1;BCG;2014;TLBC2504;S2
13012310;11.75 ;V  ;2013;1;BCG;2014;TLBC2504;S2
13012487;0;NRA;2014;1;BCG;2014;TLBC2504;S2
13012801;7;AC ;2014;2;BCG;2014;TLBC2504;S2
13013056;7;AC ;2014;2;BCG;2014;TLBC2504;S2
13013177;10;V  ;2013;2;BCG;2014;TLBC2504;S2
13013661;2;NRA;2014;1;BCG;2014;TLBC2504;S2
13014135;10;V  ;2013;2;BCG;2014;TLBC2504;S2
13014757;0;NRA;2014;1;BCG;2014;TLBC2504;S2
14000005;13.8  ;V  ;2014;1;BCG;2014;TLBC2504;S2
14000028;10.6  ;V  ;2014;1;BCG;2014;TLBC2504;S2
14000076;13.6  ;V  ;2014;1;BCG;2014;TLBC2504;S2
14000120;14.5  ;V  ;2014;1;BCG;2014;TLBC2504;S2
14000146;1.7   ;NRA;2014;1;BCG;2014;TLBC2504;S2
14000206;14.2  ;V  ;2014;1;BCG;2014;TLBC2504;S2
14000243;7.2   ;AC ;2014;2;BCG;2014;TLBC2504;S2
14000297;1.1   ;NRA;2014;1;BCG;2014;TLBC2504;S2
14000320;10.1  ;V  ;2014;1;BCG;2014;TLBC2504;S2
14000361;10;V  ;2014;2;BCG;2014;TLBC2504;S2
14000402;.8    ;NRA;2014;1;BCG;2014;TLBC2504;S2
14000426;10;V  ;2014;2;BCG;2014;TLBC2504;S2
14000472;5;NV ;2014;2;BCG;2014;TLBC2504;S2
