COD_ETU;Note : TLBC1204;Résultat : TLBC1204;Année : TLBC1204;Session : TLBC1204;FILIERE;ANNEEE;MODULE;SEMESTRE
15001005;10.1  ;V  ;2016;1;BCG;2021;TLBC1204;S1
17005897;10    ;V  ;2018;2;BCG;2021;TLBC1204;S1
18003778;10    ;V  ;2021;2;BCG;2021;TLBC1204;S1
18004924;11 675;V  ;2018;1;BCG;2021;TLBC1204;S1
18009801;10    ;V  ;2019;2;BCG;2021;TLBC1204;S1
19000495;10    ;V  ;2020;2;BCG;2021;TLBC1204;S1
19004460;10    ;V  ;2021;2;BCG;2021;TLBC1204;S1
19008101;0     ;NRA;2021;1;BCG;2021;TLBC1204;S1
19010235;5.25  ;NV ;2021;2;BCG;2021;TLBC1204;S1
19013082;0     ;NRA;2021;1;BCG;2021;TLBC1204;S1
20000168;5     ;NV ;2021;2;BCG;2021;TLBC1204;S1
20000962;1     ;NV ;2021;2;BCG;2021;TLBC1204;S1
20003710;10    ;V  ;2021;2;BCG;2021;TLBC1204;S1
20008312;10    ;V  ;2021;2;BCG;2021;TLBC1204;S1
20010299;.25   ;NV ;2021;2;BCG;2021;TLBC1204;S1
20011315;0     ;NRA;2021;1;BCG;2021;TLBC1204;S1
20013603;0     ;NRA;2021;1;BCG;2021;TLBC1204;S1
21000917;10    ;V  ;2021;1;BCG;2021;TLBC1204;S1
21001100;10    ;V  ;2021;1;BCG;2021;TLBC1204;S1
21001280;10    ;V  ;2021;2;BCG;2021;TLBC1204;S1
21001402;10    ;V  ;2021;1;BCG;2021;TLBC1204;S1
21001563;13    ;V  ;2021;1;BCG;2021;TLBC1204;S1
21001772;10    ;V  ;2021;2;BCG;2021;TLBC1204;S1
21001988;12    ;V  ;2021;1;BCG;2021;TLBC1204;S1
21002136;15.75 ;V  ;2021;1;BCG;2021;TLBC1204;S1
21002232;10    ;V  ;2021;2;BCG;2021;TLBC1204;S1
21002334;11    ;V  ;2021;1;BCG;2021;TLBC1204;S1
21002554;11    ;V  ;2021;1;BCG;2021;TLBC1204;S1
21002720;17    ;V  ;2021;1;BCG;2021;TLBC1204;S1
21003416;10    ;V  ;2021;1;BCG;2021;TLBC1204;S1
21003786;10    ;V  ;2021;1;BCG;2021;TLBC1204;S1
21003969;10    ;V  ;2021;2;BCG;2021;TLBC1204;S1
21004144;10    ;V  ;2021;2;BCG;2021;TLBC1204;S1
21004877;10    ;V  ;2021;2;BCG;2021;TLBC1204;S1
21005091;0     ;NRA;2021;1;BCG;2021;TLBC1204;S1
21005625;0     ;NRA;2021;1;BCG;2021;TLBC1204;S1
21005821;12.5  ;V  ;2021;1;BCG;2021;TLBC1204;S1
21006194;1     ;NV ;2021;2;BCG;2021;TLBC1204;S1
21008484;.75   ;NV ;2021;2;BCG;2021;TLBC1204;S1
21009444;10    ;V  ;2021;2;BCG;2021;TLBC1204;S1
21009851;17    ;V  ;2021;1;BCG;2021;TLBC1204;S1
21011894;10    ;V  ;2021;2;BCG;2021;TLBC1204;S1
21011924;8.5   ;NV ;2021;2;BCG;2021;TLBC1204;S1
21013108;10    ;V  ;2021;2;BCG;2021;TLBC1204;S1
21014121;10    ;V  ;2021;2;BCG;2021;TLBC1204;S1
21015447;;;;;BCG;2021;TLBC1204;S1
15005732;10    ;V  ;2015;2;BCG;2021;TLBC1404;S1
17006084;0     ;NRA;2021;1;BCG;2021;TLBC1404;S1
18003813;8.19  ;NV ;2021;2;BCG;2021;TLBC1404;S1
18004963;10 138;V  ;2019;1;BCG;2021;TLBC1404;S1
18010406;5.2   ;NV ;2021;2;BCG;2021;TLBC1404;S1
19001078;0     ;NRA;2021;1;BCG;2021;TLBC1404;S1
19005115;10 563;V  ;2019;1;BCG;2021;TLBC1404;S1
19009095;0     ;NRA;2021;1;BCG;2021;TLBC1404;S1
19010536;0     ;NRA;2021;1;BCG;2021;TLBC1404;S1
20000037;9 328 ;AC ;2020;2;BCG;2021;TLBC1404;S1
20000209;10    ;V  ;2021;2;BCG;2021;TLBC1404;S1
20001054;9 312 ;AC ;2021;2;BCG;2021;TLBC1404;S1
20003911;0     ;NRA;2021;1;BCG;2021;TLBC1404;S1
20008796;7.48  ;NV ;2021;2;BCG;2021;TLBC1404;S1
20010324;10 888;V  ;2021;1;BCG;2021;TLBC1404;S1
20011498;0     ;NRA;2021;1;BCG;2021;TLBC1404;S1
21000790;10 888;V  ;2021;1;BCG;2021;TLBC1404;S1
21000979;16.85 ;V  ;2021;1;BCG;2021;TLBC1404;S1
21001129;9.25  ;AC ;2021;2;BCG;2021;TLBC1404;S1
21001295;4.23  ;NV ;2021;2;BCG;2021;TLBC1404;S1
21001467;6 013 ;NV ;2021;2;BCG;2021;TLBC1404;S1
21001577;10 563;V  ;2021;1;BCG;2021;TLBC1404;S1
21001822;11.05 ;V  ;2021;1;BCG;2021;TLBC1404;S1
21002033;9.1   ;NV ;2021;2;BCG;2021;TLBC1404;S1
21002143;7     ;AC ;2021;2;BCG;2021;TLBC1404;S1
21002253;3.58  ;NV ;2021;2;BCG;2021;TLBC1404;S1
21002371;8 663 ;NV ;2021;2;BCG;2021;TLBC1404;S1
21002572;14 438;V  ;2021;1;BCG;2021;TLBC1404;S1
21002759;14.5  ;V  ;2021;1;BCG;2021;TLBC1404;S1
