COD_ETU;Note ;Résultat ;Année ;Session ;FILIERE;ANNEE;MODULE
9007198;;;1;2015;BCG;2015;TLBC3004
11013259;;;1;2015;BCG;2015;TLBC3004
12010824;5.625;NV;2;2015;BCG;2015;TLBC3004
12011179;4.517;NV;2;2015;BCG;2015;TLBC3004
12011575;;;1;2015;BCG;2015;TLBC3004
12011668;1.667;NV;2;2015;BCG;2015;TLBC3004
12011836;2.75  ;NV;2;2015;BCG;2015;TLBC3004
12012403;5.683;NV;2;2015;BCG;2015;TLBC3004
13010024;;;1;2015;BCG;2015;TLBC3004
13011424;9.267;NV;2;2015;BCG;2015;TLBC3004
13012266;7.275;NV;2;2015;BCG;2015;TLBC3004
13012458;9.292;AC;2;2015;BCG;2015;TLBC3004
13012743;1.333;NV;2;2015;BCG;2015;TLBC3004
13013038;11.696;V ;1;2015;BCG;2015;TLBC3004
13013177;8.279;NV;2;2015;BCG;2015;TLBC3004
13013700;;;1;2015;BCG;2015;TLBC3004
13014135;7.167;NV;2;2015;BCG;2015;TLBC3004
13014681;10.75 ;V ;2;2015;BCG;2015;TLBC3004
14000013;11.8  ;V ;1;2015;BCG;2015;TLBC3004
14000046;;;1;2015;BCG;2015;TLBC3004
14000090;;;1;2015;BCG;2015;TLBC3004
14000133;10.004;V ;2;2015;BCG;2015;TLBC3004
14000165;9.05  ;NV;2;2015;BCG;2015;TLBC3004
14000222;11.242;V ;2;2015;BCG;2015;TLBC3004
14000264;;;1;2015;BCG;2015;TLBC3004
14000310;10.325;V ;2;2015;BCG;2015;TLBC3004
14000336;11.638;V ;2;2015;BCG;2015;TLBC3004
14000388;;;1;2015;BCG;2015;TLBC3004
14000419;;;1;2015;BCG;2015;TLBC3004
14000471;;;1;2015;BCG;2015;TLBC3004
14000544;;;1;2015;BCG;2015;TLBC3004
14000694;;;1;2015;BCG;2015;TLBC3004
14000990;;;1;2015;BCG;2015;TLBC3004
14001612;;;1;2015;BCG;2015;TLBC3004
14001987;;;1;2015;BCG;2015;TLBC3004
14003099;;;1;2015;BCG;2015;TLBC3004
14005206;;;1;2015;BCG;2015;TLBC3004
14005963;;;1;2015;BCG;2015;TLBC3004
