COD_ETU;Note : TLBC3004;Résultat : TLBC3004;Session : TLBC3004;Année : TLBC3004;FILIERE;ANNEE;MODULE;SEMESTRE
10009177;3 348 ;NV;2;2014;BCG;2014;TLBC3004;S3
11012566;8 148 ;NV;2;2014;BCG;2014;TLBC3004;S3
12006095;3.9   ;NV;2;2014;BCG;2014;TLBC3004;S3
12011050;9 448 ;NV;2;2014;BCG;2014;TLBC3004;S3
12011135;5 833 ;NV;2;2014;BCG;2014;TLBC3004;S3
12011235;1 167 ;NV;2;2014;BCG;2014;TLBC3004;S3
12011539;6 742 ;NV;2;2014;BCG;2014;TLBC3004;S3
12011600;1 592 ;NV;2;2014;BCG;2014;TLBC3004;S3
12011666;3 383 ;NV;2;2014;BCG;2014;TLBC3004;S3
12011789;4 175 ;NV;2;2014;BCG;2014;TLBC3004;S3
12011919;10 004;V ;2;2014;BCG;2014;TLBC3004;S3
12012429;9     ;AC;2;2014;BCG;2014;TLBC3004;S3
12012772;8 742 ;NV;2;2014;BCG;2014;TLBC3004;S3
13010015;9 535 ;AC;2;2014;BCG;2014;TLBC3004;S3
13011006;13 331;V ;2;2014;BCG;2014;TLBC3004;S3
13011269;8 138 ;NV;2;2014;BCG;2014;TLBC3004;S3
13011476;10 967;V ;2;2014;BCG;2014;TLBC3004;S3
13012176;;;1;2014;BCG;2014;TLBC3004;S3
13012363;;;1;2014;BCG;2014;TLBC3004;S3
13012547;;;1;2014;BCG;2014;TLBC3004;S3
13012801;11 577;V ;2;2014;BCG;2014;TLBC3004;S3
13013054;;;1;2014;BCG;2014;TLBC3004;S3
13013153;10 096;V ;2;2014;BCG;2014;TLBC3004;S3
13013266;10.96 ;V ;2;2014;BCG;2014;TLBC3004;S3
13013843;;;1;2014;BCG;2014;TLBC3004;S3
13014089;;;1;2014;BCG;2014;TLBC3004;S3
13014317;11.19 ;V ;2;2014;BCG;2014;TLBC3004;S3
13014473;7 092 ;NV;2;2014;BCG;2014;TLBC3004;S3
13015005;10 317;V ;2;2014;BCG;2014;TLBC3004;S3
