COD_ETU;Note ;Résultat ;Année ;Session ;FILIERE;ANNEE;MODULE;;;
10048467;9.7   ;AC ;2011;1;BCG;2015;TLBC1104;;;
12006095;11 375;V  ;2013;2;BCG;2015;TLBC1104;;;
12011178;10;V  ;2013;2;BCG;2015;TLBC1104;;;
12011618;10;V  ;2013;2;BCG;2015;TLBC1104;;;
12011785;13;V  ;2012;1;BCG;2015;TLBC1104;;;
12012443;11.75 ;V  ;2012;1;BCG;2015;TLBC1104;;;
13011263;0;NRA;2015;1;BCG;2015;TLBC1104;;;
13012387;10.7  ;V  ;2015;1;BCG;2015;TLBC1104;;;
13012711;1.2   ;NRA;2015;1;BCG;2015;TLBC1104;;;
13013094;9;NV ;2015;2;BCG;2015;TLBC1104;;;
13013197;0;NRA;2015;1;BCG;2015;TLBC1104;;;
13013976;4.3   ;NRA;2015;1;BCG;2015;TLBC1104;;;
13014984;12.4  ;V  ;2014;1;BCG;2015;TLBC1104;;;
14000064;14.4  ;V  ;2015;1;BCG;2015;TLBC1104;;;
14000144;14;V  ;2014;1;BCG;2015;TLBC1104;;;
14000241;10;V  ;2015;2;BCG;2015;TLBC1104;;;
14000300;10;V  ;2014;2;BCG;2015;TLBC1104;;;
14000341;10;V  ;2014;2;BCG;2015;TLBC1104;;;
14000405;11.9  ;V  ;2014;1;BCG;2015;TLBC1104;;;
14000461;10;V  ;2015;2;BCG;2015;TLBC1104;;;
14000582;13.4  ;V  ;2014;1;BCG;2015;TLBC1104;;;
14000785;10.03 ;V  ;2014;1;BCG;2015;TLBC1104;;;
14001596;10;V  ;2014;2;BCG;2015;TLBC1104;;;
14002046;0;NRA;2015;1;BCG;2015;TLBC1104;;;
14004961;10.4  ;V  ;2014;1;BCG;2015;TLBC1104;;;
14005974;10;V  ;2014;2;BCG;2015;TLBC1104;;;
15000023;16.7  ;V  ;2015;1;BCG;2015;TLBC1104;;;
15000051;17;V  ;2015;1;BCG;2015;TLBC1104;;;
15000077;15.5  ;V  ;2015;1;BCG;2015;TLBC1104;;;
15000096;11.4  ;V  ;2015;1;BCG;2015;TLBC1104;;;
15000141;15.5  ;V  ;2015;1;BCG;2015;TLBC1104;;;
15000181;15.3  ;V  ;2015;1;BCG;2015;TLBC1104;;;
15000228;13.9  ;V  ;2015;1;BCG;2015;TLBC1104;;;
15000252;10.1  ;V  ;2015;1;BCG;2015;TLBC1104;;;
15000289;15.1  ;V  ;2015;1;BCG;2015;TLBC1104;;;
15000337;7;NV ;2015;2;BCG;2015;TLBC1104;;;
15000369;8;NV ;2015;2;BCG;2015;TLBC1104;;;
15000414;10.35 ;V  ;2015;1;BCG;2015;TLBC1104;;;
15000578;13.4  ;V  ;2015;1;BCG;2015;TLBC1104;;;
15000774;13.8  ;V  ;2015;1;BCG;2015;TLBC1104;;;
15001030;5.6   ;NV ;2015;2;BCG;2015;TLBC1104;;;
15001365;10;V  ;2015;2;BCG;2015;TLBC1104;;;
15002705;14.7  ;V  ;2015;1;BCG;2015;TLBC1104;;;
15004520;10;V  ;2015;2;BCG;2015;TLBC1104;;;
15005254;11.1  ;V  ;2015;1;BCG;2015;TLBC1104;;;
15005587;10;V  ;2015;2;BCG;2015;TLBC1104;;;
15005641;13.95 ;V  ;2015;1;BCG;2015;TLBC1104;;;
15006782;15.7  ;V  ;2015;1;BCG;2015;TLBC1104;;;
15008224;4.4   ;NRA;2015;1;BCG;2015;TLBC1104;;;
12011207;10;V  ;2012;1;BCG;2015;TLBC1304;;;
12011809;13 225;V  ;2015;1;BCG;2015;TLBC1304;;;
12012455;10;V  ;2013;2;BCG;2015;TLBC1304;;;
13011474;0;NRA;2015;1;BCG;2015;TLBC1304;;;
13012397;10;V  ;2014;2;BCG;2015;TLBC1304;;;
13012783;10;V  ;2014;2;BCG;2015;TLBC1304;;;
13013107;11.62 ;V  ;2014;1;BCG;2015;TLBC1304;;;
13013443;10.05 ;V  ;2015;1;BCG;2015;TLBC1304;;;
13014092;10;V  ;2013;2;BCG;2015;TLBC1304;;;
13014995;2.45  ;NRA;2015;1;BCG;2015;TLBC1304;;;
14000071;10;V  ;2014;2;BCG;2015;TLBC1304;;;
14000149;12.52 ;V  ;2014;1;BCG;2015;TLBC1304;;;
14000249;12.1  ;V  ;2015;1;BCG;2015;TLBC1304;;;
14000305;10;V  ;2014;2;BCG;2015;TLBC1304;;;
14000353;12.91 ;V  ;2014;1;BCG;2015;TLBC1304;;;
14000407;10;V  ;2014;2;BCG;2015;TLBC1304;;;
14000470;12.27 ;V  ;2014;1;BCG;2015;TLBC1304;;;
