COD_ETU;Note : TLGE1104;Résultat : TLGE1104;Année : TLGE1104;Session : TLGE1104;FILIERE;ANNEE;MODULE;SEMESTRE
11013302;0     ;NRA;2015;1;GEGM;2015;TLGE1104;S1
12011188;7     ;AC ;2013;2;GEGM;2015;TLGE1104;S1
12012919;10    ;V  ;2012;1;GEGM;2015;TLGE1104;S1
13013295;9     ;AC ;2015;1;GEGM;2015;TLGE1104;S1
13013651;0     ;NRA;2015;1;GEGM;2015;TLGE1104;S1
13013939;10    ;V  ;2013;2;GEGM;2015;TLGE1104;S1
13014364;0     ;NRA;2015;1;GEGM;2015;TLGE1104;S1
13016449;8     ;;2015;1;GEGM;2015;TLGE1104;S1
14000268;0     ;NRA;2015;1;GEGM;2015;TLGE1104;S1
14000396;4 516 ;NRA;2015;1;GEGM;2015;TLGE1104;S1
14000595;.654  ;NRA;2015;1;GEGM;2015;TLGE1104;S1
14001346;0     ;NRA;2015;1;GEGM;2015;TLGE1104;S1
14005680;9.65  ;AC ;2014;2;GEGM;2015;TLGE1104;S1
15000280;10    ;V  ;2015;2;GEGM;2015;TLGE1104;S1
15000388;10    ;V  ;2015;2;GEGM;2015;TLGE1104;S1
15000727;11.91 ;V  ;2015;1;GEGM;2015;TLGE1104;S1
15000943;10 629;V  ;2015;1;GEGM;2015;TLGE1104;S1
15001045;0     ;NRA;2015;1;GEGM;2015;TLGE1104;S1
15001099;2.4   ;NRA;2015;1;GEGM;2015;TLGE1104;S1
15001831;4 025 ;NRA;2015;1;GEGM;2015;TLGE1104;S1
15002554;5.25  ;NV ;2015;2;GEGM;2015;TLGE1104;S1
15004523;0     ;NRA;2015;1;GEGM;2015;TLGE1104;S1
15005042;8     ;AC ;2015;2;GEGM;2015;TLGE1104;S1
15005624;10 679;V  ;2015;1;GEGM;2015;TLGE1104;S1
15006160;6     ;NV ;2015;2;GEGM;2015;TLGE1104;S1
15008108;10    ;V  ;2015;2;GEGM;2015;TLGE1104;S1
10048648;10.5  ;V  ;2011;1;GEGM;2015;TLGE2604;S2
11013510;11.25 ;V  ;2011;1;GEGM;2015;TLGE2604;S2
12011268;14.25 ;V  ;2013;1;GEGM;2015;TLGE2604;S2
13013133;12.6  ;V  ;2013;1;GEGM;2015;TLGE2604;S2
13013370;10.85 ;V  ;2013;1;GEGM;2015;TLGE2604;S2
13013839;0     ;NRA;2015;1;GEGM;2015;TLGE2604;S2
13013944;14.85 ;V  ;2013;1;GEGM;2015;TLGE2604;S2
13014540;14.35 ;V  ;2013;1;GEGM;2015;TLGE2604;S2
14000109;15    ;V  ;2014;1;GEGM;2015;TLGE2604;S2
14000282;12.5  ;V  ;2014;1;GEGM;2015;TLGE2604;S2
14000437;11.5  ;V  ;2014;1;GEGM;2015;TLGE2604;S2
14000664;12    ;V  ;2014;1;GEGM;2015;TLGE2604;S2
14001633;13    ;V  ;2014;1;GEGM;2015;TLGE2604;S2
14006337;12    ;V  ;2014;1;GEGM;2015;TLGE2604;S2
15000294;13.5  ;V  ;2015;1;GEGM;2015;TLGE2604;S2
15000534;14    ;V  ;2015;1;GEGM;2015;TLGE2604;S2
15000800;11.5  ;V  ;2015;1;GEGM;2015;TLGE2604;S2
15000994;10    ;V  ;2015;2;GEGM;2015;TLGE2604;S2
15001063;11.75 ;V  ;2015;1;GEGM;2015;TLGE2604;S2
15001490;13.25 ;V  ;2015;1;GEGM;2015;TLGE2604;S2
15001977;12    ;V  ;2015;1;GEGM;2015;TLGE2604;S2
15002561;10    ;V  ;2015;2;GEGM;2015;TLGE2604;S2
15004590;12.5  ;V  ;2015;1;GEGM;2015;TLGE2604;S2
15005609;7.75  ;NV ;2015;2;GEGM;2015;TLGE2604;S2
15005632;12    ;V  ;2015;1;GEGM;2015;TLGE2604;S2
15006686;16.25 ;V  ;2015;1;GEGM;2015;TLGE2604;S2
15008941;0     ;NRA;2015;1;GEGM;2015;TLGE2604;S2
10048707;10    ;V  ;2011;1;GEGM;2015;TLGE1404;S1
12010889;9.5   ;AC ;2014;2;GEGM;2015;TLGE1404;S1
12011289;0     ;NRA;2015;1;GEGM;2015;TLGE1404;S1
13013137;10 625;V  ;2014;1;GEGM;2015;TLGE1404;S1
13013449;1.5   ;NRA;2015;1;GEGM;2015;TLGE1404;S1
13013902;7     ;AC ;2014;2;GEGM;2015;TLGE1404;S1
13013950;10.4  ;V  ;2015;1;GEGM;2015;TLGE1404;S1
13014660;5.15  ;NV ;2015;2;GEGM;2015;TLGE1404;S1
14000170;10    ;V  ;2015;2;GEGM;2015;TLGE1404;S1
14000292;7     ;AC ;2014;2;GEGM;2015;TLGE1404;S1
14000502;9     ;AC ;2015;2;GEGM;2015;TLGE1404;S1
14000701;6.5   ;NV ;2015;2;GEGM;2015;TLGE1404;S1
14001639;6.5   ;NV ;2015;2;GEGM;2015;TLGE1404;S1
15000021;3.9   ;NRA;2015;1;GEGM;2015;TLGE1404;S1
15000301;4.55  ;NRA;2015;1;GEGM;2015;TLGE1404;S1
15000583;8     ;NV ;2015;2;GEGM;2015;TLGE1404;S1
15000820;1.3   ;NRA;2015;1;GEGM;2015;TLGE1404;S1
15001007;7     ;NV ;2015;2;GEGM;2015;TLGE1404;S1
15001069;3.1   ;NRA;2015;1;GEGM;2015;TLGE1404;S1
15001763;6     ;NV ;2015;2;GEGM;2015;TLGE1404;S1
15002014;4.3   ;NRA;2015;1;GEGM;2015;TLGE1404;S1
15003494;2.3   ;NRA;2015;1;GEGM;2015;TLGE1404;S1
15004604;3.2   ;NRA;2015;1;GEGM;2015;TLGE1404;S1
15005612;2.9   ;NRA;2015;1;GEGM;2015;TLGE1404;S1
15005635;9.25  ;AC ;2015;2;GEGM;2015;TLGE1404;S1
