COD_ETU;Note : TLGE3104;Résultat : TLGE3104;Session : TLGE3104;Année : TLGE3104;Note : TLGE3204;Résultat : TLGE3204;Session : TLGE3204;Année : TLGE3204;Note : TLGE3304;Résultat : TLGE3304;Session : TLGE3304;Année : TLGE3304;Note : TLGE3404;Résultat : TLGE3404;Session : TLGE3404;Année : TLGE3404;Note : TLGE3504;Résultat : TLGE3504;Session : TLGE3504;Année : TLGE3504;Note : TLGE3604;Résultat : TLGE3604;Session : TLGE3604;Année : TLGE3604;Note : TLGE3004;Résultat : TLGE3004;Session : TLGE3004;Année : TLGE3004;Note : TLGE4104;Résultat : TLGE4104;Session : TLGE4104;Année : TLGE4104;Note : TLGE4204;Résultat : TLGE4204;Session : TLGE4204;Année : TLGE4204;Note : TLGE4304;Résultat : TLGE4304;Session : TLGE4304;Année : TLGE4304;Note : TLGE4404;Résultat : TLGE4404;Session : TLGE4404;Année : TLGE4404;Note : TLGE4504;Résultat : TLGE4504;Session : TLGE4504;Année : TLGE4504;Note : TLGE4604;Résultat : TLGE4604;Session : TLGE4604;Année : TLGE4604;Note : TLGE4004;Résultat : TLGE4004;Session : TLGE4004;Année : TLGE4004
14000545;10;V;2;2017;0;NRA;1;2021;10;V;2;2020;11.25;V;1;2017;10;V;2;2017;11;V;1;2016;8 708;NV;2;2021;10.5;V;1;2019;10;V;1;2019;10;V;2;2020;14 175;V;1;2018;11;V;1;2020;0;NRA;1;2021;9 279;NV;2;2021
15000649;2;NV;2;2021;10;V;2;2020;10;V;2;2019;11.25;V;1;2017;10;V;2;2018;12;V;1;2016;9 208;NV;2;2021;15.85;V;1;2019;10;V;1;2019;11;V;1;2016;13;V;1;2017;10;V;2;2016;16;V;1;2019;12 642;V;1;2019
15001763;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;10;V;2;2018;0;NRA;1;2021;10;V;1;2016;3 333;NV;2;2021;13.55;V;1;2019;10;V;1;2019;11;V;1;2019;0;NRA;1;2021;11;V;1;2019;0;NRA;1;2021;7 592;NV;2;2021
15004320;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;10;V;2;2017;0;NRA;1;2021;10;V;2;2016;3 333;NV;2;2021;0;NRA;1;2021;10;V;2;2016;12.5;V;1;2016;0;NRA;1;2021;11 875;V;1;2016;0;NRA;1;2021;5 729;NV;2;2021
15005607;10;V;1;2020;0;NRA;1;2021;12.5;V;1;2020;10;V;1;2016;10;V;2;2020;10.5;V;1;2019;8 833;NV;2;2021;10;V;2;2021;10;V;2;2021;11;V;1;2020;10;V;2;2020;10;V;2;2020;3;NV;2;2021;9;NV;2;2021
15005614;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;10.25;V;1;2017;10;V;2;2017;11;V;1;2016;5 208;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;11.5;V;1;2016;15.6;V;1;2016;10;V;2;2017;0;NRA;1;2021;6 183;NV;2;2021
15007511;11;V;1;2016;0;NRA;1;2021;0;NRA;1;2021;16.5;V;1;2016;0;NRA;1;2021;14;V;1;2016;6 917;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NV;2;2021
15008226;10;V;2;2017;10;V;2;2021;10;V;2;2021;10;V;2;2017;10;V;2;2021;10;V;1;2017;10;V;2;2021;16.5;V;1;2021;16.25;V;1;2021;10;V;1;2016;10;V;2;2021;10;V;1;2021;10;V;1;2019;12 125;V;2;2021
16000364;10;V;2;2019;0;NRA;1;2021;.25;NV;2;2021;10;V;1;2018;10;V;2;2017;13;V;1;2017;7 208;NV;2;2021;10;V;2;2018;0;NRA;1;2021;10;V;2;2017;10.6;V;1;2017;0;NRA;1;2021;0;NRA;1;2021;5.1;NV;2;2021
16000621;10;V;2;2018;0;NRA;1;2021;10;V;2;2018;10;V;2;2018;0;NRA;1;2021;13.5;V;1;2017;7.25;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;10;V;1;2018;11.9;V;1;2018;11;V;1;2017;0;NRA;1;2021;5 483;NV;2;2021
16000747;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;10;V;2;2018;0;NRA;1;2021;12;V;1;2017;3 667;NV;2;2021;0;NRA;1;2021;;;;;0;NRA;1;2021;0;NRA;1;2021;13.25;V;1;2017;;;;;;;1;2021
16000792;0;NRA;1;2021;0;NRA;1;2021;;;;;;;;;;;;;10;V;1;2017;;;1;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2021
16001414;10;V;2;2018;0;NRA;1;2021;.25;NV;2;2021;10;V;1;2017;0;NRA;1;2021;11;V;1;2017;5 208;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;16.6;V;1;2017;12.5;V;1;2017;0;NRA;1;2021;4.85;NV;2;2021
16001542;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;12.6;V;1;2020;10;V;2;2020;12.5;V;1;2017;5.85;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;12;V;1;2020;;;;;0;NRA;1;2021;;;;;;;1;2021
16001637;10;V;2;2020;0;NRA;1;2021;.25;NV;2;2021;12.8;V;1;2020;10 125;V;1;2019;10.5;V;1;2017;7 279;NV;2;2021;13.1;V;1;2019;14;V;1;2019;10;V;2;2018;10;V;1;2019;0;NRA;1;2021;0;NRA;1;2021;7.85;NV;2;2021
16001824;;;;;;;;;;;;;0;NRA;1;2021;0;NRA;1;2021;13;V;1;2017;;;1;2021;;;;;;;;;;;;;;;;;0;NRA;1;2021;;;;;;;1;2021
16001861;10;V;2;2019;8;AC;2;2021;10;V;2;2019;10;V;2;2019;11 875;V;1;2019;10.5;V;1;2017;10 063;V;2;2021;7;AC;2;2019;10;V;1;2019;11;V;1;2019;13;V;1;2017;12;V;1;2019;10;V;1;2019;10.5;V;2;2019
16005460;;;;;0;NRA;1;2021;.25;NV;2;2021;17.25;V;1;2017;;;;;12;V;1;2017;;;1;2021;0;NRA;1;2021;;;;;0;NRA;1;2021;16.1;V;1;2018;14.25;V;1;2017;;;;;;;1;2021
16005549;0;NRA;1;2021;10;V;2;2018;0;NRA;1;2021;10;V;2;2017;0;NRA;1;2021;13;V;1;2017;5.5;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;10;V;2;2017;11.38;V;1;2018;13;V;1;2017;0;NRA;1;2021;5.73;NV;2;2021
16005932;;;;;0;NRA;1;2021;;;;;0;NRA;1;2021;;;;;11.5;V;1;2018;;;1;2021;;;;;;;;;;;;;;;;;0;NRA;1;2021;;;;;;;1;2021
16006053;;;;;0;NRA;1;2021;0;NRA;1;2021;11.2;V;1;2020;0;NRA;1;2021;13.5;V;1;2017;;;1;2021;0;NRA;1;2021;;;;;;;;;;;;;10;V;1;2017;;;;;;;1;2021
17004822;0;NRA;1;2021;0;NRA;1;2021;14.95;V;1;2019;17.6;V;1;2019;0;NRA;1;2021;0;NRA;1;2021;5 425;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NV;2;2021
17005056;;;;;;;;;.25;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;;;1;2021;;;;;;;;;0;NRA;1;2021;;;;;;;;;;;;;;;1;2021
17005059;0;NRA;1;2021;0;NRA;1;2021;10;V;2;2020;17.48;V;1;2019;10;V;2;2020;12;V;1;2019;8 247;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;10;V;2;2019;0;NRA;1;2021;16;V;1;2019;16;V;1;2019;7;NV;2;2021
17005156;7;NV;2;2021;0;NRA;1;2021;10;V;2;2021;9;NV;2;2021;10;V;2;2021;0;NRA;1;2021;6;NV;2;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2021
17005238;0;NRA;1;2021;0;NRA;1;2021;.25;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;.042;NV;2;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2021
17005512;0;NRA;1;2021;0;NRA;1;2021;.25;NV;2;2021;12;V;1;2018;10;V;1;2019;13;V;1;2018;5 875;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NV;2;2021
17005537;0;NRA;1;2021;0;NRA;1;2021;.25;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;.042;NV;2;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2021
17005788;10;V;2;2019;7.6;AC;2;2019;10;V;2;2019;13;V;1;2018;10;V;2;2019;15;V;1;2019;10 933;V;2;2019;12 525;V;1;2019;12;V;1;2019;10;V;2;2019;10;V;1;2020;10;V;2;2018;7;AC;2;2021;10 254;V;2;2021
17005988;0;NRA;1;2021;;;;;0;NRA;1;2021;12.25;V;1;2018;0;NRA;1;2021;0;NRA;1;2021;;;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NV;2;2021
17006004;;;;;;;;;;;;;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;;;1;2021;;;;;0;NRA;1;2021;;;;;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;;;1;2021
17006073;0;NRA;1;2021;0;NRA;1;2021;.25;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;13;V;1;2018;2 208;NV;2;2021;0;NRA;1;2021;;;;;0;NRA;1;2021;;;;;12;V;1;2019;;;;;;;1;2021
17006171;0;NRA;1;2021;10;V;2;2020;0;NRA;1;2021;11.9;V;1;2020;0;NRA;1;2021;0;NRA;1;2021;3.65;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;10;V;2;2019;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;1 667;NV;2;2021
17006172;;;;;;;;;.25;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;;;1;2021;;;;;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;;;;;;;1;2021
17006182;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NV;2;2021;;;;;;;;;;;;;;;;;0;NRA;1;2021;;;;;;;1;2021
17006187;7;NV;2;2021;7;NV;2;2021;4;NV;2;2021;12.2;V;1;2020;10;V;2;2020;10;V;1;2018;8 367;NV;2;2021;6.75;NV;2;2021;10.1;V;1;2020;14.5;V;1;2019;16.75;V;1;2020;14;V;1;2019;5;NV;2;2021;11 183;NV;2;2021
17006286;10 075;V;1;2019;10;V;2;2021;10.05;V;1;2019;10;V;2;2019;10;V;2;2020;15;V;1;2018;10 854;V;2;2021;15 575;V;1;2019;14;V;1;2019;10.5;V;1;2018;13;V;1;2019;13;V;1;2019;16;V;1;2019;13 679;V;1;2019
17006325;10.5;V;1;2020;7;AC;2;2020;7;AC;2;2020;10;V;2;2018;13.5;V;1;2019;16;V;1;2018;10 667;V;2;2020;10.6;V;1;2019;13;V;1;2019;13;V;1;2019;10.5;V;1;2018;10;V;2;2019;7;AC;2;2021;10 683;V;2;2021
17007134;10;V;1;2020;9;AC;2;2021;7;AC;2;2021;11.5;V;1;2020;10;V;2;2020;16;V;1;2019;10 583;V;2;2021;13.95;V;1;2019;10.35;V;1;2020;14.5;V;1;2019;11;V;1;2020;11;V;1;2019;7;AC;2;2020;11.3;V;2;2020
17007141;;;;;0;NRA;1;2021;;;;;0;NRA;1;2021;;;;;0;NRA;1;2021;;;1;2021;0;NRA;1;2021;10;V;2;2020;0;NRA;1;2021;;;;;0;NRA;1;2021;0;NRA;1;2021;;;1;2021
17007653;;;;;0;NRA;1;2021;.25;NV;2;2021;0;NRA;1;2021;;;;;10.5;V;1;2019;;;1;2021;;;;;;;;;;;;;;;;;0;NRA;1;2021;;;;;;;1;2021
