COD_ETU;Note : TLMP1104;Résultat : TLMP1104;Session : TLMP1104;Année : TLMP1104;Note : TLMP1204;Résultat : TLMP1204;Session : TLMP1204;Année : TLMP1204;Note : TLMP1304;Résultat : TLMP1304;Session : TLMP1304;Année : TLMP1304;Note : TLMP1404;Résultat : TLMP1404;Session : TLMP1404;Année : TLMP1404;Note : TLMP1504;Résultat : TLMP1504;Session : TLMP1504;Année : TLMP1504;Note : TLMP1604;Résultat : TLMP1604;Session : TLMP1604;Année : TLMP1604;Note : TLMP1004;Résultat : TLMP1004;Session : TLMP1004;Année : TLMP1004;Note : TLMP2104;Résultat : TLMP2104;Session : TLMP2104;Année : TLMP2104;Note : TLMP2204;Résultat : TLMP2204;Session : TLMP2204;Année : TLMP2204;Note : TLMP2304;Résultat : TLMP2304;Session : TLMP2304;Année : TLMP2304;Note : TLMP2404;Résultat : TLMP2404;Session : TLMP2404;Année : TLMP2404;Note : TLMP2504;Résultat : TLMP2504;Session : TLMP2504;Année : TLMP2504;Note : TLMP2604;Résultat : TLMP2604;Session : TLMP2604;Année : TLMP2604;Note : TLMP2004;Résultat : TLMP2004;Session : TLMP2004;Année : TLMP2004
9004189;3.6;NRA;1;2015;1.5;NRA;1;2015;6;NV;2;2015;4.6;NRA;1;2015;11.88;V;1;2011;14.43;V;1;2010;7 002;NV;2;2015;.3;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;13.6;V;1;2010;2 317;NV;2;2015
10009927;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;10;V;1;2011;10;V;1;2010;10.15;V;1;2010;5 025;NV;2;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;10;V;1;2011;0;NRA;1;2015;10;V;1;2010;3 333;NV;2;2015
11010123;10;V;2;2013;10;V;2;2013;;;;;10;V;1;2012;10;V;1;2011;10;V;1;2011;10;V;2;2013;10;V;1;2012;10;V;1;2012;7;AC;2;2015;10;V;1;2012;10.3;V;2;2014;11.2;V;1;2012;9.75;AC;2;2015
11010987;10;V;2;2013;10;V;2;2013;;;;;10;AC;1;2013;10;V;1;2011;10;V;1;2012;10;V;2;2013;13.7;V;1;2014;3;NRA;1;2015;5;NV;2;2015;10;AC;1;2013;10;V;1;2013;10;V;1;2012;8 617;NV;2;2015
11011128;10;V;1;2012;10;V;1;2012;;;;;7;AC;1;2013;10;V;1;2011;13;V;1;2011;10;V;1;2013;10;V;1;2012;10;V;1;2012;11;V;1;2014;7;AC;1;2013;11.1;V;1;2014;10.9;V;1;2011;10;V;2;2015
11012350;9.46;AC;1;2012;9.46;AC;1;2012;;;;;9;AC;1;2012;16.95;V;1;2012;13;V;1;2012;12 103;V;2;2012;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;9;AC;1;2012;10;V;2;2013;12;V;1;2012;5 167;NV;2;2015
11013552;9.75;AC;2;2014;10;V;2;2014;10.25;V;1;2013;10;V;2;2013;10;V;1;2012;10;V;1;2012;10;V;2;2014;10.03;V;1;2012;10.03;V;1;2012;10.25;V;1;2013;10;V;2;2013;0;NRA;1;2015;10.2;V;1;2012;8 418;NV;2;2015
11013765;7;AC;2;2013;7;AC;2;2013;;;;;11.75;V;1;2011;10;V;1;2011;12.15;V;1;2011;10 225;V;2;2013;10;V;1;2012;10;V;1;2012;0;NRA;1;2015;11.75;V;1;2011;0;NRA;1;2015;10.13;V;1;2011;6.98;NV;2;2015
11013788;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;10;V;1;2011;13.95;V;1;2011;3 992;NV;2;2015;10;V;1;2012;10;V;1;2012;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;16;V;1;2011;6;NV;2;2015
11013957;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;0;NRA;1;2015;10;V;1;2011;10;V;1;2011;3 333;NV;2;2015;10;V;1;2012;10;V;1;2012;0;NRA;1;2015;0;NRA;1;2015;10;V;1;2012;11.2;V;1;2012;6 867;NV;2;2015
